epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.43107,2.53815,3.24291,2.00493,0.00902,0.54762,0.01444,0.00443,3.34389,3.77192,2.6109,8e-05,8e-05,8e-05
2,8.87246,2.41195,3.1311,2.03621,0.01039,0.63095,0.23961,0.1347,2.60527,3.51841,1.98356,0.000176436,0.000176436,0.000176436
3,13.3414,1.91324,2.49453,1.49806,0.01078,0.65476,0.3655,0.21767,2.56297,3.33782,1.95946,0.000268912,0.000268912,0.000268912
4,17.7942,1.78047,2.36445,1.51352,0.02334,0.59524,0.51757,0.26684,2.42732,3.23016,1.98424,0.000357428,0.000357428,0.000357428
5,22.2209,1.70221,1.84866,1.42073,0.82071,0.43602,0.54357,0.32022,2.33694,2.95111,1.9441,0.000441984,0.000441984,0.000441984
6,26.6462,1.9199,2.55796,1.66448,0.75473,0.46429,0.55239,0.32582,2.29269,2.73517,1.94732,0.00052258,0.00052258,0.00052258
7,30.8721,1.8473,1.89059,1.472,0.73987,0.44018,0.5064,0.24499,2.25157,2.71351,1.92905,0.000599216,0.000599216,0.000599216
8,35.2709,1.71101,1.99831,1.40846,0.73987,0.44018,0.5064,0.24499,2.25157,2.71351,1.92905,0.000671892,0.000671892,0.000671892
9,39.6755,1.73347,2.35011,1.37774,0.82004,0.43404,0.54145,0.29327,2.15252,2.67616,1.79385,0.000740608,0.000740608,0.000740608
10,44.1438,1.59423,1.79202,1.31383,0.9672,0.35119,0.57564,0.39626,1.84753,2.6784,1.57101,0.000805364,0.000805364,0.000805364
11,48.5546,1.52463,1.68327,1.2536,0.9672,0.35119,0.57564,0.39626,1.84753,2.6784,1.57101,0.00086616,0.00086616,0.00086616
12,52.9845,1.35256,1.48921,1.18003,0.94355,0.39803,0.60635,0.3646,1.84849,2.60718,1.48286,0.000922996,0.000922996,0.000922996
13,57.3798,1.37821,1.36507,1.17599,0.94355,0.39803,0.60635,0.3646,1.84849,2.60718,1.48286,0.000975872,0.000975872,0.000975872
14,61.8836,1.52702,1.62257,1.28091,0.94355,0.39803,0.60635,0.3646,1.84849,2.60718,1.48286,0.00102479,0.00102479,0.00102479
15,66.2,1.32941,1.58601,1.21776,0.89508,0.50785,0.58786,0.41127,1.75161,2.4793,1.45399,0.00106974,0.00106974,0.00106974
16,70.4748,1.63176,2.09415,1.3967,0.89508,0.50785,0.58786,0.41127,1.75161,2.4793,1.45399,0.00111074,0.00111074,0.00111074
17,74.8809,1.65101,2.08399,1.33542,0.89508,0.50785,0.58786,0.41127,1.75161,2.4793,1.45399,0.00114778,0.00114778,0.00114778
18,79.2651,1.38391,1.59021,1.20407,0.92326,0.42969,0.54165,0.37963,1.7883,2.69133,1.44729,0.00118085,0.00118085,0.00118085
19,83.5116,1.40752,1.48987,1.22109,0.92326,0.42969,0.54165,0.37963,1.7883,2.69133,1.44729,0.00120997,0.00120997,0.00120997
20,88.0003,1.64489,1.71238,1.26577,0.92326,0.42969,0.54165,0.37963,1.7883,2.69133,1.44729,0.00123512,0.00123512,0.00123512
21,92.5253,1.39884,1.67844,1.23894,0.9735,0.43738,0.53532,0.35656,1.69856,2.8053,1.37898,0.001208,0.001208,0.001208
22,97.1128,1.42001,1.58573,1.20267,0.9735,0.43738,0.53532,0.35656,1.69856,2.8053,1.37898,0.0011684,0.0011684,0.0011684
23,101.663,1.45783,1.49943,1.23076,0.9735,0.43738,0.53532,0.35656,1.69856,2.8053,1.37898,0.0011288,0.0011288,0.0011288
24,106.209,1.4897,1.52989,1.29605,0.97627,0.63095,0.64528,0.45398,1.5262,2.24564,1.32948,0.0010892,0.0010892,0.0010892
25,110.652,1.8678,1.76081,1.39596,0.97627,0.63095,0.64528,0.45398,1.5262,2.24564,1.32948,0.0010496,0.0010496,0.0010496
26,115.144,1.65642,1.80708,1.44198,0.97627,0.63095,0.64528,0.45398,1.5262,2.24564,1.32948,0.00101,0.00101,0.00101
27,119.635,1.62695,1.65634,1.26594,0.96484,0.65335,0.68047,0.49209,1.54289,1.86852,1.33728,0.0009704,0.0009704,0.0009704
28,124.096,1.20634,1.34661,1.13505,0.96484,0.65335,0.68047,0.49209,1.54289,1.86852,1.33728,0.0009308,0.0009308,0.0009308
29,128.681,1.41066,1.49455,1.2072,0.96484,0.65335,0.68047,0.49209,1.54289,1.86852,1.33728,0.0008912,0.0008912,0.0008912
30,133.072,1.18127,1.24852,1.12933,0.98213,0.65441,0.71147,0.53048,1.47938,1.71333,1.29071,0.0008516,0.0008516,0.0008516
31,137.249,1.17863,1.22536,1.09322,0.98213,0.65441,0.71147,0.53048,1.47938,1.71333,1.29071,0.000812,0.000812,0.000812
32,141.6,1.59423,1.90131,1.60703,0.98213,0.65441,0.71147,0.53048,1.47938,1.71333,1.29071,0.0007724,0.0007724,0.0007724
33,145.769,1.21837,1.27712,1.18755,0.98213,0.65441,0.71147,0.53048,1.47938,1.71333,1.29071,0.0007328,0.0007328,0.0007328
34,150.066,1.17346,1.27609,1.14274,0.93068,0.69048,0.74429,0.55377,1.41933,1.59617,1.23694,0.0006932,0.0006932,0.0006932
35,154.534,1.34051,1.77487,1.24331,0.93068,0.69048,0.74429,0.55377,1.41933,1.59617,1.23694,0.0006536,0.0006536,0.0006536
36,158.937,1.17588,1.25321,1.17811,0.93068,0.69048,0.74429,0.55377,1.41933,1.59617,1.23694,0.000614,0.000614,0.000614
37,163.316,1.24655,1.27642,1.15763,0.82681,0.68204,0.72707,0.52938,1.41603,1.93412,1.21494,0.0005744,0.0005744,0.0005744
38,167.806,1.14027,1.19132,1.06008,0.82681,0.68204,0.72707,0.52938,1.41603,1.93412,1.21494,0.0005348,0.0005348,0.0005348
39,172.277,1.23822,1.52532,1.15051,0.82681,0.68204,0.72707,0.52938,1.41603,1.93412,1.21494,0.0004952,0.0004952,0.0004952
40,176.677,1.34638,1.24823,1.15547,0.74918,0.7381,0.72983,0.51874,1.40611,1.83735,1.20949,0.0004556,0.0004556,0.0004556
41,181.071,1.54977,2.36703,1.46134,0.74918,0.7381,0.72983,0.51874,1.40611,1.83735,1.20949,0.000416,0.000416,0.000416
42,185.592,1.51992,2.02695,1.31064,0.74918,0.7381,0.72983,0.51874,1.40611,1.83735,1.20949,0.0003764,0.0003764,0.0003764
43,190.113,1.44194,1.81297,1.28029,0.72146,0.70924,0.69348,0.48986,1.3755,1.99542,1.19476,0.0003368,0.0003368,0.0003368
44,194.71,1.22044,1.39858,1.1651,0.72146,0.70924,0.69348,0.48986,1.3755,1.99542,1.19476,0.0002972,0.0002972,0.0002972
45,199.365,1.13961,1.30175,1.08678,0.72146,0.70924,0.69348,0.48986,1.3755,1.99542,1.19476,0.0002576,0.0002576,0.0002576
46,203.981,1.19175,1.38902,1.1201,0.70439,0.70921,0.69528,0.51471,1.33449,1.95062,1.17648,0.000218,0.000218,0.000218
47,208.548,1.19016,1.45557,1.16598,0.70439,0.70921,0.69528,0.51471,1.33449,1.95062,1.17648,0.0001784,0.0001784,0.0001784
48,212.922,1.19656,1.45763,1.21679,0.70439,0.70921,0.69528,0.51471,1.33449,1.95062,1.17648,0.0001388,0.0001388,0.0001388
49,217.464,1.32616,1.50401,1.19613,0.70439,0.70921,0.69528,0.51471,1.33449,1.95062,1.17648,9.92e-05,9.92e-05,9.92e-05
